"short_rep_motif"	"rep_motif"	"max"	"avg_exp"	"color"	"other_clust_motifs"
"IRF.BATF.IRF.bZIP."	"IRF.BATF.IRF.bZIP..pDC.Irf8.ChIP.Seq.GSE66899..Homer"	"1.96699020382525"	"0.983495101912627"	"salmon2"	"bZIP.IRF.bZIP.IRF..Th17.BatF.ChIP.Seq.GSE39756..Homer"
"E2F7.E2F."	"E2F7.E2F..Hela.E2F7.ChIP.Seq.GSE32673..Homer"	"5.71791778589941"	"0.952986297649901"	"palevioletred2"	"E2F6.E2F..Hela.E2F6.ChIP.Seq.GSE31477..Homer|E2F4.E2F..K562.E2F4.ChIP.Seq.GSE31477..Homer|E2F3.E2F..MEF.E2F3.ChIP.Seq.GSE71376..Homer|E2F1.E2F..Hela.E2F1.ChIP.Seq.GSE22478..Homer|E2F.E2F..Hela.CellCycle.Expression.Homer"
"Smad2.MAD."	"Smad2.MAD..ES.SMAD2.ChIP.Seq.GSE29422..Homer"	"2.87218916103852"	"0.957396387012838"	"brown"	"Smad3.MAD..NPC.Smad3.ChIP.Seq.GSE36673..Homer|Smad4.MAD..ESC.SMAD4.ChIP.Seq.GSE29422..Homer"
"RAR.RXR.NR..DR5.ES.RAR.ChIP.Seq.GSE56893..12"	"RAR.RXR.NR..DR5.ES.RAR.ChIP.Seq.GSE56893..12"	"1.98324888897532"	"0.99162444448766"	"green"	"RARg.NR..ES.RARg.ChIP.Seq.GSE30538..Homer"
"TEAD4.TEA."	"TEAD4.TEA..Tropoblast.Tead4.ChIP.Seq.GSE37350..Homer"	"2.92258373797106"	"0.974194579323687"	"red"	"TEAD2.TEA..Py2T.Tead2.ChIP.Seq.GSE55709..Homer|TEAD.TEA..Fibroblast.PU.1.ChIP.Seq.Unpublished..Homer"
"Hoxc9.Homeobox."	"Hoxc9.Homeobox..Ainv15.Hoxc9.ChIP.Seq.GSE21812..Homer"	"1.98046621853804"	"0.990233109269018"	"black"	"HOXA9.Homeobox..HSC.Hoxa9.ChIP.Seq.GSE33509..Homer"
"ZBTB33.Zf."	"ZBTB33.Zf..GM12878.ZBTB33.ChIP.Seq.GSE32465..Homer"	"1.95564665429436"	"0.977823327147181"	"purple"	"GFX....Promoter.Homer"
"Srebp1a.bHLH."	"Srebp1a.bHLH..HepG2.Srebp1a.ChIP.Seq.GSE31477..Homer"	"1.95134721610374"	"0.975673608051871"	"tan"	"Srebp2.bHLH..HepG2.Srebp2.ChIP.Seq.GSE31477..Homer"
"Pax7.Paired.Homeobox."	"Pax7.Paired.Homeobox..Myoblast.Pax7.ChIP.Seq.GSE25064..Homer"	""	""	"lightyellow"	""
"MafF.bZIP."	"MafF.bZIP..HepG2.MafF.ChIP.Seq.GSE31477..Homer"	""	""	"lightyellow"	""
"PU.1.ETS."	"PU.1.ETS..ThioMac.PU.1.ChIP.Seq.GSE21512..Homer"	""	""	"lightyellow"	""
"DUX4.Homeobox."	"DUX4.Homeobox..Myoblasts.DUX4.V5.ChIP.Seq.GSE75791..Homer"	""	""	"lightyellow"	""
"THRb.NR."	"THRb.NR..Liver.NR1A2.ChIP.Seq.GSE52613..Homer"	""	""	"lightyellow"	""
"SpiB.ETS."	"SpiB.ETS..OCILY3.SPIB.ChIP.Seq.GSE56857..Homer"	""	""	"lightyellow"	""
"CArG.MADS."	"CArG.MADS..PUER.Srf.ChIP.Seq.Sullivan_et_al...Homer"	""	""	"lightyellow"	""
"Znf263.Zf."	"Znf263.Zf..K562.Znf263.ChIP.Seq.GSE31477..Homer"	""	""	"lightyellow"	""
"EBNA1.EBV.virus."	"EBNA1.EBV.virus..Raji.EBNA1.ChIP.Seq.GSE30709..Homer"	""	""	"lightyellow"	""
"AR.halfsite.NR."	"AR.halfsite.NR..LNCaP.AR.ChIP.Seq.GSE27824..Homer"	""	""	"lightyellow"	""
"ZNF136.Zf."	"ZNF136.Zf..HEK293.ZNF136.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"ZNF675.Zf."	"ZNF675.Zf..HEK293.ZNF675.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"PAX3.FKHR.fusion.Paired.Homeobox."	"PAX3.FKHR.fusion.Paired.Homeobox..Rh4.PAX3.FKHR.ChIP.Seq.GSE19063..Homer"	""	""	"lightyellow"	""
"PAX6.Paired.Homeobox."	"PAX6.Paired.Homeobox..Forebrain.Pax6.ChIP.Seq.GSE66961..Homer"	""	""	"lightyellow"	""
"ZNF382.Zf."	"ZNF382.Zf..HEK293.ZNF382.GFP.ChIP.Seq.GSE58341..Homer"	""	""	"lightyellow"	""
"CEBP.CEBP.bZIP."	"CEBP.CEBP.bZIP..MEF.Chop.ChIP.Seq.GSE35681..Homer"	""	""	"lightyellow"	""
"VDR.NR..DR3"	"VDR.NR..DR3.GM10855.VDR.vitD.ChIP.Seq.GSE22484..Homer"	""	""	"lightyellow"	""
"Pax7.Paired.Homeobox..longest"	"Pax7.Paired.Homeobox..longest.Myoblast.Pax7.ChIP.Seq.GSE25064..Homer"	""	""	"lightyellow"	""
"NFY.CCAAT."	"NFY.CCAAT..Promoter.Homer"	""	""	"lightyellow"	""
"Brachyury.T.box."	"Brachyury.T.box..Mesoendoderm.Brachyury.ChIP.exo.GSE54963..Homer"	""	""	"lightyellow"	""
